,answer,n_tries,last_n_choices,won,difficulty_level
5718,their,3.39,8.89,1.0,easy
4511,raise,3.44,8.27,1.0,easy
283,aside,3.47,5.49,1.0,easy
5733,third,3.47,10.06,1.0,easy
5104,since,3.48,10.33,1.0,easy
4593,reign,3.49,11.6,1.0,easy
6033,until,3.49,5.29,1.0,easy
939,cedar,3.5,10.08,1.0,easy
5102,simon,3.51,24.21,1.0,easy
3710,mourn,3.52,5.36,1.0,easy
13,abhor,3.52,71.2,1.0,easy
2264,ghost,3.52,4.11,1.0,easy
40,actor,3.52,23.07,1.0,easy
5279,solid,3.53,6.09,1.0,easy
2148,frost,3.54,7.89,1.0,easy
2767,idols,3.54,12.3,1.0,easy
6311,whoso,3.54,5.17,1.0,easy
1779,empty,3.55,8.44,1.0,easy
3930,ocean,3.55,4.5,1.0,easy
2031,flesh,3.55,4.03,1.0,easy
5483,strip,3.55,6.55,1.0,easy
316,aught,3.56,7.52,1.0,easy
5888,trial,3.56,7.1,1.0,easy
882,canst,3.56,8.91,1.0,easy
5507,sugar,3.57,70.08,1.0,easy
2481,habit,3.57,17.18,1.0,easy
6278,whale,3.57,4.28,1.0,easy
5310,south,3.58,3.0,1.0,easy
2266,giant,3.58,10.31,1.0,easy
4195,piece,3.58,12.57,1.0,easy
1757,elton,3.58,10.32,1.0,easy
4735,rosin,3.58,4.4,1.0,easy
54,adieu,3.58,5.57,1.0,easy
1567,doubt,3.58,8.87,1.0,easy
1486,dinah,3.59,9.17,1.0,easy
2128,fresh,3.59,9.35,1.0,easy
747,broad,3.59,6.5,1.0,easy
4383,prose,3.6,4.05,1.0,easy
4673,risen,3.6,14.01,1.0,easy
17,abode,3.6,8.1,1.0,easy
962,chaos,3.6,76.84,1.0,easy
3362,lucre,3.6,8.37,1.0,easy
6305,whole,3.6,10.05,1.0,easy
2830,isaac,3.6,6.66,1.0,easy
85,agent,3.6,6.64,1.0,easy
5156,slain,3.61,11.26,1.0,easy
5712,thank,3.61,9.45,1.0,easy
5581,syria,3.61,5.35,1.0,easy
1692,earth,3.62,4.76,1.0,easy
1788,enoch,3.62,3.18,1.0,easy
677,bosom,3.62,15.67,1.0,easy
3361,lucky,3.62,72.06,1.0,easy
4414,pulse,3.62,3.69,1.0,easy
4823,saith,3.62,11.43,1.0,easy
284,asked,3.62,69.81,1.0,easy
2761,ideas,3.62,17.88,1.0,easy
3812,negro,3.62,14.71,1.0,easy
4647,ridge,3.62,11.41,0.98,easy
2152,fruit,3.63,5.12,1.0,easy
957,chair,3.63,5.99,1.0,easy
1997,first,3.63,3.44,1.0,easy
6469,young,3.63,16.83,1.0,easy
2941,judah,3.63,79.27,1.0,easy
3747,music,3.63,5.38,1.0,easy
3945,often,3.64,4.43,1.0,easy
762,bruno,3.64,2.47,1.0,easy
133,alien,3.64,3.63,1.0,easy
1526,doers,3.64,15.86,0.99,easy
491,below,3.64,10.97,1.0,easy
1342,daisy,3.64,3.69,1.0,easy
3788,naomi,3.64,70.84,1.0,easy
6380,world,3.64,71.56,1.0,easy
473,begat,3.64,7.18,1.0,easy
809,burnt,3.65,5.91,1.0,easy
2442,guard,3.65,5.74,1.0,easy
778,build,3.65,5.76,1.0,easy
983,chest,3.65,6.96,1.0,easy
961,chant,3.65,6.93,1.0,easy
5849,touch,3.65,4.59,1.0,easy
3528,meant,3.65,19.65,1.0,easy
6019,unfit,3.65,5.94,1.0,easy
2599,herod,3.65,6.02,1.0,easy
3138,latin,3.65,6.44,1.0,easy
2835,islet,3.65,2.18,1.0,easy
4556,reach,3.65,7.53,1.0,easy
1743,elias,3.66,3.05,1.0,easy
1792,entry,3.66,3.85,1.0,easy
3169,least,3.66,9.43,0.99,easy
5052,shoes,3.66,11.63,0.99,easy
1626,drunk,3.66,14.9,1.0,easy
2839,italy,3.66,3.14,1.0,easy
431,bathe,3.66,4.34,1.0,easy
38,acted,3.66,7.52,1.0,easy
6432,yacht,3.67,4.5,1.0,easy
880,canoe,3.67,10.78,1.0,easy
4065,palsy,3.67,5.87,1.0,easy
1207,court,3.67,4.89,1.0,easy
5441,stern,3.67,5.45,1.0,easy
586,blind,3.67,16.63,1.0,easy
814,burst,3.67,6.56,1.0,easy
5579,synod,3.67,2.37,1.0,easy
200,angry,3.67,4.49,1.0,easy
3671,month,3.67,13.56,1.0,easy
1965,fiend,3.67,3.31,1.0,easy
6291,which,3.67,8.22,1.0,easy
5270,sodom,3.67,15.09,1.0,easy
2391,grasp,3.68,4.07,1.0,easy
4669,rinse,3.68,1.29,1.0,easy
6149,vista,3.68,3.26,1.0,easy
3929,occur,3.68,3.15,1.0,easy
5736,thorn,3.68,2.06,1.0,easy
6394,wrath,3.68,2.83,1.0,easy
6385,worst,3.68,4.21,1.0,easy
1298,cubit,3.68,4.84,1.0,easy
1728,egypt,3.68,7.75,1.0,easy
3589,midst,3.68,9.59,1.0,easy
6052,usual,3.68,5.1,1.0,easy
472,began,3.68,16.29,1.0,easy
5530,susan,3.69,14.92,1.0,easy
2415,grind,3.69,67.84,1.0,easy
3562,merit,3.69,6.71,1.0,easy
2701,house,3.69,6.82,1.0,easy
3141,laugh,3.69,19.01,1.0,easy
4006,ought,3.69,3.13,1.0,easy
152,alone,3.69,8.46,1.0,easy
6013,uncle,3.69,4.03,1.0,easy
5726,thief,3.69,7.01,1.0,easy
21,abram,3.7,14.14,1.0,easy
34,acorn,3.7,3.75,1.0,easy
3581,micah,3.7,10.66,1.0,easy
5365,split,3.7,3.21,1.0,easy
297,astir,3.7,2.67,1.0,easy
2565,heart,3.7,5.74,1.0,easy
4526,range,3.7,10.46,1.0,easy
1678,dwell,3.7,7.04,1.0,easy
1673,dutch,3.7,5.49,1.0,easy
5926,truth,3.7,3.58,1.0,easy
4656,rigid,3.7,5.55,1.0,easy
4862,satin,3.7,4.39,1.0,easy
264,arose,3.7,5.5,1.0,easy
1075,climb,3.7,6.26,1.0,easy
5223,smote,3.7,5.35,1.0,easy
1891,false,3.7,10.52,1.0,easy
6050,usher,3.7,5.37,0.99,easy
6261,weird,3.7,3.41,1.0,easy
14,abide,3.7,14.57,1.0,easy
5737,those,3.7,3.19,1.0,easy
2808,instr,3.7,1.91,1.0,easy
159,altar,3.71,4.54,1.0,easy
1095,cloud,3.71,3.85,1.0,easy
2630,hiram,3.71,3.17,1.0,easy
4559,ready,3.71,12.62,1.0,easy
4963,senor,3.71,2.41,1.0,easy
5839,torch,3.71,3.08,1.0,easy
1625,drums,3.72,4.46,1.0,easy
19,about,3.72,6.83,1.0,easy
3122,large,3.72,7.22,1.0,easy
4028,owned,3.72,4.35,0.99,easy
2837,issue,3.72,8.71,1.0,easy
1934,felix,3.72,14.74,1.0,easy
3973,onset,3.72,4.53,1.0,easy
4534,rapid,3.72,6.15,1.0,easy
6051,using,3.72,10.94,1.0,easy
3836,niece,3.72,8.68,1.0,easy
153,along,3.72,4.52,1.0,easy
6403,wrong,3.72,4.72,1.0,easy
3991,organ,3.72,6.15,1.0,easy
2447,guide,3.73,8.3,1.0,easy
1704,ebony,3.73,3.44,1.0,easy
6009,unbar,3.73,6.84,1.0,easy
4716,roman,3.73,9.8,1.0,easy
5975,twice,3.73,32.76,1.0,easy
5725,thick,3.73,8.87,1.0,easy
5338,spent,3.73,28.95,1.0,easy
331,avoid,3.73,11.55,1.0,easy
6303,white,3.73,4.63,1.0,easy
1034,cigar,3.73,5.76,1.0,easy
999,china,3.73,5.02,1.0,easy
150,aloft,3.73,12.18,1.0,easy
4207,pilot,3.73,5.01,1.0,easy
5876,tread,3.73,6.87,1.0,easy
2793,indus,3.73,1.95,1.0,easy
5297,sorry,3.73,5.05,0.99,easy
1447,depth,3.73,5.7,1.0,easy
195,angel,3.73,3.43,1.0,easy
196,anger,3.73,5.8,1.0,easy
4250,plato,3.74,4.0,1.0,easy
4755,royal,3.74,8.93,1.0,easy
2841,items,3.74,2.85,1.0,easy
4983,seven,3.74,6.11,1.0,easy
5661,teach,3.74,3.97,1.0,easy
2146,front,3.74,6.45,1.0,easy
3164,leapt,3.74,14.95,1.0,easy
1281,crowd,3.74,4.75,1.0,easy
5478,straw,3.74,6.17,1.0,easy
124,alert,3.74,4.59,1.0,easy
5744,throw,3.74,5.81,1.0,easy
6299,whirl,3.75,7.29,1.0,easy
2719,humor,3.75,5.38,1.0,easy
618,board,3.75,15.87,1.0,easy
258,arise,3.75,8.42,1.0,easy
174,amend,3.75,3.44,1.0,easy
2844,ivory,3.75,4.89,1.0,easy
5368,spoke,3.75,11.93,1.0,easy
5339,sperm,3.75,6.96,1.0,easy
5001,shalt,3.75,5.72,1.0,easy
5681,tempt,3.75,4.62,1.0,easy
2717,human,3.75,8.39,1.0,easy
4611,reply,3.75,11.17,1.0,easy
1416,deere,3.75,74.76,1.0,easy
4394,psalm,3.75,2.97,1.0,easy
2048,flora,3.75,5.41,1.0,easy
5337,spend,3.75,5.13,1.0,easy
1851,exact,3.75,6.62,1.0,easy
1066,clean,3.76,5.59,1.0,easy
5020,sheba,3.76,3.82,1.0,easy
6054,usury,3.76,5.95,1.0,easy
5810,token,3.76,6.9,1.0,easy
5218,smith,3.76,5.43,1.0,easy
5379,spray,3.76,12.4,1.0,easy
4858,satan,3.76,7.05,1.0,easy
6283,wheat,3.76,4.2,1.0,easy
4191,piano,3.76,6.28,1.0,easy
4269,pluck,3.76,74.44,1.0,easy
4385,proud,3.76,4.76,1.0,easy
2059,fluid,3.76,3.27,1.0,easy
3872,noisy,3.76,3.72,1.0,easy
3912,nymph,3.76,2.69,1.0,easy
2051,flour,3.76,6.03,1.0,easy
6388,would,3.76,3.43,1.0,easy
6045,uriah,3.76,7.3,1.0,easy
1502,dirty,3.76,5.27,1.0,easy
64,adopt,3.77,5.36,1.0,easy
765,brute,3.77,5.26,1.0,easy
2850,jacob,3.77,9.54,1.0,easy
5209,small,3.77,9.28,1.0,easy
991,chief,3.77,5.32,1.0,easy
2313,glory,3.77,4.05,1.0,easy
446,beach,3.77,12.94,1.0,easy
1290,crush,3.77,2.9,1.0,easy
3705,motor,3.77,6.84,1.0,easy
2742,hymns,3.77,9.3,1.0,easy
992,child,3.77,6.4,1.0,easy
1427,delay,3.77,16.09,1.0,easy
4001,oscar,3.77,1.57,1.0,easy
2569,heavy,3.77,26.69,1.0,easy
2689,horse,3.77,5.37,1.0,easy
2671,honor,3.77,4.83,1.0,easy
5548,swear,3.77,7.2,1.0,easy
1799,epsom,3.77,2.64,1.0,easy
224,anvil,3.77,4.23,1.0,easy
5937,tulip,3.77,4.21,1.0,easy
4197,piety,3.78,2.23,0.99,easy
6022,union,3.78,6.74,1.0,easy
1340,daily,3.78,10.71,1.0,easy
1092,close,3.78,11.93,1.0,easy
2388,grant,3.78,8.89,1.0,easy
1235,crash,3.78,4.25,1.0,easy
4850,sarah,3.78,4.3,0.99,easy
3766,myths,3.78,3.52,1.0,easy
3862,noble,3.78,5.4,1.0,easy
132,alice,3.78,5.93,1.0,easy
6401,write,3.78,9.77,0.99,easy
107,aisle,3.78,5.61,1.0,easy
2310,globe,3.78,71.85,1.0,easy
229,apart,3.78,5.22,1.0,easy
4318,porch,3.78,7.11,1.0,easy
729,brian,3.78,6.75,1.0,easy
6039,upset,3.78,2.07,1.0,easy
5059,short,3.79,5.11,1.0,easy
5058,shore,3.79,16.81,1.0,easy
1982,final,3.79,8.05,1.0,easy
2775,image,3.79,7.72,1.0,easy
562,black,3.79,5.59,1.0,easy
3233,lilac,3.79,4.65,1.0,easy
6161,voice,3.79,7.38,1.0,easy
1497,dipso,3.79,1.57,1.0,easy
1906,fatal,3.79,4.48,1.0,easy
5722,these,3.79,10.71,1.0,easy
4443,pyotr,3.79,1.39,1.0,easy
1472,didst,3.79,78.08,1.0,easy
5401,stael,3.79,1.15,1.0,easy
6030,unsay,3.79,1.98,1.0,easy
6471,youth,3.79,11.73,1.0,easy
1608,drift,3.79,2.99,1.0,easy
1353,dance,3.8,9.87,1.0,easy
1858,exist,3.8,3.83,1.0,easy
3214,liars,3.8,5.35,1.0,easy
4694,roast,3.8,4.55,0.97,easy
4863,satyr,3.8,1.48,1.0,easy
2691,hosea,3.8,5.83,1.0,easy
3884,north,3.8,6.76,1.0,easy
339,awful,3.8,5.48,1.0,easy
475,begin,3.8,6.79,1.0,easy
1463,diana,3.8,10.76,1.0,easy
1735,elbow,3.8,3.16,1.0,easy
3601,milky,3.8,6.98,1.0,easy
906,carlo,3.8,8.81,1.0,easy
929,cause,3.8,6.53,1.0,easy
5367,spoil,3.8,4.99,1.0,easy
5331,spear,3.8,5.21,1.0,easy
6259,weigh,3.8,6.27,1.0,easy
5710,thane,3.8,3.69,1.0,easy
1405,decay,3.8,70.01,0.99,easy
1067,clear,3.8,5.85,1.0,easy
2485,hadst,3.8,3.23,1.0,easy
1071,clerk,3.81,5.15,1.0,easy
2398,great,3.81,3.86,1.0,easy
1203,could,3.81,6.27,1.0,easy
2488,hagar,3.81,8.9,1.0,easy
6048,usage,3.81,10.67,0.99,easy
268,arrow,3.81,10.87,1.0,easy
1690,early,3.81,6.16,1.0,easy
3686,moral,3.81,8.71,1.0,easy
1022,chuck,3.81,4.26,1.0,easy
3653,mogul,3.81,3.43,1.0,easy
3668,money,3.81,12.01,1.0,easy
5283,solve,3.81,2.93,1.0,easy
337,aware,3.81,11.56,1.0,easy
3764,myrrh,3.81,2.91,1.0,easy
838,cabin,3.81,8.33,1.0,easy
3131,lasso,3.81,3.26,1.0,easy
4070,panic,3.81,5.33,1.0,easy
4329,posit,3.81,1.33,1.0,easy
3394,lying,3.81,13.04,0.98,easy
1679,dwelt,3.81,5.34,1.0,easy
1610,drink,3.81,5.59,1.0,easy
147,allow,3.81,5.79,1.0,easy
95,ahead,3.81,2.77,1.0,easy
65,adore,3.81,4.2,1.0,easy
1426,deity,3.81,4.26,1.0,easy
6280,wharf,3.81,3.66,1.0,easy
6267,welsh,3.81,1.57,1.0,easy
1226,craft,3.81,13.66,0.99,easy
4255,plead,3.81,5.7,0.99,easy
5053,shone,3.81,12.85,1.0,easy
5045,shirt,3.81,18.21,1.0,easy
4826,salad,3.81,3.93,1.0,easy
674,borne,3.82,6.03,1.0,easy
3240,limbs,3.82,7.14,0.99,easy
2155,fslic,3.82,1.32,1.0,easy
1454,devil,3.82,7.86,0.99,easy
5408,stair,3.82,2.89,1.0,easy
3871,noise,3.82,5.5,0.99,easy
2760,ideal,3.82,3.97,1.0,easy
1047,civil,3.82,20.27,1.0,easy
6147,visit,3.82,8.55,1.0,easy
1146,color,3.82,4.71,1.0,easy
2452,guise,3.82,5.46,1.0,easy
1093,cloth,3.82,4.61,1.0,easy
5776,timid,3.82,3.93,1.0,easy
4908,scorn,3.82,4.2,1.0,easy
235,april,3.82,6.24,1.0,easy
2596,henry,3.82,14.7,1.0,easy
5569,sword,3.82,5.45,1.0,easy
1550,doors,3.83,8.56,1.0,easy
3044,knees,3.83,9.84,1.0,easy
3055,known,3.83,4.46,1.0,easy
3165,learn,3.83,5.64,0.98,easy
1785,enemy,3.83,6.09,1.0,easy
1846,evils,3.83,5.99,1.0,easy
3559,mercy,3.83,8.58,1.0,easy
1389,dealt,3.83,4.92,1.0,easy
1018,chose,3.83,69.72,1.0,easy
617,blush,3.83,6.7,1.0,easy
552,birds,3.83,4.7,1.0,easy
554,bison,3.83,2.41,1.0,easy
5428,stead,3.83,16.07,0.99,easy
2720,humph,3.83,19.08,1.0,easy
4162,peril,3.83,4.68,1.0,easy
5091,signs,3.83,6.09,1.0,easy
5190,slope,3.83,3.86,1.0,easy
452,beard,3.83,4.61,1.0,easy
80,again,3.83,5.62,1.0,easy
1885,faith,3.83,13.21,1.0,easy
5793,tithe,3.83,6.19,0.99,easy
5749,thumb,3.84,3.32,1.0,easy
5686,tenor,3.84,2.7,1.0,easy
5889,tribe,3.84,5.39,1.0,easy
5976,twigs,3.84,6.91,1.0,easy
6032,untie,3.84,3.32,1.0,easy
4609,repay,3.84,5.7,1.0,easy
6308,whore,3.84,9.74,1.0,easy
5986,tycho,3.84,1.14,1.0,easy
3937,oddly,3.84,2.41,1.0,easy
2021,flash,3.84,8.78,1.0,easy
4396,pshaw,3.84,4.41,1.0,easy
2730,hurry,3.84,10.84,1.0,easy
2926,jonah,3.84,8.73,1.0,easy
5513,sulky,3.84,5.59,1.0,easy
779,built,3.84,6.24,1.0,easy
5497,style,3.84,9.62,1.0,easy
613,blunt,3.84,4.35,1.0,easy
4427,purge,3.84,5.04,1.0,easy
2752,icahn,3.84,1.3,1.0,easy
20,above,3.84,7.65,1.0,easy
5966,twain,3.84,4.26,1.0,easy
42,acute,3.84,3.64,1.0,easy
3142,laura,3.85,12.97,1.0,easy
4469,quiet,3.85,6.41,1.0,easy
2041,float,3.85,4.0,1.0,easy
5088,sighs,3.85,7.68,1.0,easy
2022,flask,3.85,32.17,1.0,easy
5741,threw,3.85,11.97,1.0,easy
4291,polar,3.85,5.98,1.0,easy
6365,woman,3.85,6.97,1.0,easy
2449,guild,3.85,6.1,1.0,easy
5097,silly,3.85,10.04,1.0,easy
2386,grand,3.85,69.35,0.99,easy
26,abyss,3.85,10.93,1.0,easy
1865,extra,3.85,3.76,1.0,easy
2289,given,3.85,10.9,1.0,easy
5427,stdio,3.85,1.27,1.0,easy
1113,coach,3.85,10.24,0.99,easy
3713,mouth,3.86,7.62,1.0,easy
2030,fleet,3.86,6.37,0.99,easy
6310,whose,3.86,6.03,1.0,easy
6406,wrung,3.86,6.83,1.0,easy
1668,durst,3.86,7.65,1.0,easy
6025,unity,3.86,5.49,1.0,easy
4274,plums,3.86,6.65,1.0,easy
5012,sharp,3.86,6.48,0.99,easy
5144,skirt,3.86,2.98,1.0,easy
4395,pseud,3.86,1.06,1.0,easy
2283,girls,3.86,73.43,1.0,easy
2090,force,3.86,14.29,1.0,easy
1331,cyrus,3.86,6.63,1.0,easy
1028,churl,3.86,2.28,1.0,easy
3618,minor,3.86,2.92,1.0,easy
4896,scene,3.86,12.07,1.0,easy
5481,strew,3.86,13.23,1.0,easy
1790,ensue,3.86,4.91,1.0,easy
3084,labor,3.86,4.99,0.99,easy
2429,group,3.86,5.48,1.0,easy
1084,cloak,3.86,2.71,1.0,easy
2668,honey,3.86,18.44,1.0,easy
6068,value,3.86,6.49,1.0,easy
117,alarm,3.87,6.3,1.0,easy
973,cheat,3.87,6.84,1.0,easy
2768,idyll,3.87,5.05,1.0,easy
3118,lapse,3.87,3.0,1.0,easy
3051,knock,3.87,4.3,1.0,easy
1395,death,3.87,4.9,1.0,easy
0,aaron,3.87,22.48,1.0,easy
1444,dense,3.87,7.04,1.0,easy
4883,scale,3.87,8.18,1.0,easy
3980,opera,3.87,2.65,1.0,easy
2521,hardy,3.87,13.41,1.0,easy
2695,hotel,3.87,6.34,0.99,easy
5958,turns,3.87,4.9,0.99,easy
3960,olive,3.87,9.64,1.0,easy
5720,there,3.87,4.72,1.0,easy
2421,groan,3.87,3.38,1.0,easy
199,anglo,3.87,2.23,1.0,easy
5571,sworn,3.87,7.7,1.0,easy
3285,loath,3.87,2.96,1.0,easy
1204,count,3.87,10.05,1.0,easy
2402,green,3.87,11.19,1.0,easy
260,armed,3.87,9.31,1.0,easy
2535,hasty,3.87,8.35,1.0,easy
4227,piste,3.87,1.32,1.0,easy
6127,views,3.87,8.82,0.99,easy
1730,eight,3.87,6.5,0.93,easy
1738,elect,3.87,4.17,1.0,easy
2813,inure,3.87,6.83,1.0,easy
2789,india,3.87,8.31,0.99,easy
1597,drawn,3.87,9.98,0.99,easy
756,broth,3.88,135.96,0.98,easy
1670,dusky,3.88,4.92,1.0,easy
6197,waist,3.88,8.68,1.0,easy
3384,lurid,3.88,2.53,1.0,easy
5601,taken,3.88,6.25,1.0,easy
5576,sylph,3.88,5.2,1.0,easy
5089,sight,3.88,6.03,0.96,easy
4092,party,3.88,5.94,0.99,easy
5085,siege,3.88,69.05,1.0,easy
5728,thigh,3.88,4.76,1.0,easy
422,basin,3.88,5.01,1.0,easy
421,basil,3.88,2.91,1.0,easy
5729,thine,3.88,5.22,1.0,easy
1949,fetch,3.88,9.82,1.0,easy
2046,floor,3.88,5.34,1.0,easy
1273,croft,3.88,8.98,1.0,easy
4366,print,3.88,6.07,1.0,easy
155,aloud,3.88,3.3,1.0,easy
